,title,genres,combined_features,index
0,Sholay,Action|Adventure|Comedy,   Sholay Action   Adventure   Comedy  ,0
1,Om Dar-B-Dar,Drama,   Om   Dar   B   Dar Drama  ,1
2,Action Jackson,Action|Thriller,   Action   Jackson Action   Thriller  ,2
3,Milenge Milenge,Drama|Romance,   Milenge   Milenge Drama   Romance  ,3
4,Bhopal: A Prayer for Rain,Drama,   Bhopal   A   Prayer  for   Rain Drama  ,4
5,A Flat,Drama|Horror|Romance,   A   Flat Drama   Horror   Romance  ,5
6,Gone Kesh,Drama,   Gone   Kesh Drama  ,6
7,Ramprasad Ki Tehrvi,Comedy|Drama,   Ramprasad   Ki   Tehrvi Comedy   Drama  ,7
8,Article 15,Crime|Drama,   Article  15 Crime   Drama  ,8
9,Yeh Saali Aashiqui,Thriller,   Yeh   Saali   Aashiqui Thriller  ,9
10,Dee Saturday Night,Drama,   Dee   Saturday   Night Drama  ,10
11,P Se Pyaar F Se Faraar,Crime|Drama|Romance,   P   Se   Pyaar   F   Se   Faraar Crime   Drama   Romance  ,11
12,#Yaaram,Comedy|Romance,   Yaaram Comedy   Romance  ,12
13,Ujda Chaman,Comedy,   Ujda   Chaman Comedy  ,13
14,Pankh,Drama,   Pankh Drama  ,14
15,Mr Bhatti on Chutti,Comedy,   Mr   Bhatti  on   Chutti Comedy  ,15
16,Delhi Safari,Animation|Comedy|Drama,   Delhi   Safari Animation   Comedy   Drama  ,16
17,Dulha Mil Gaya,Comedy|Drama|Romance,   Dulha   Mil   Gaya Comedy   Drama   Romance  ,17
18,Teen Patti,Crime|Drama|Thriller,   Teen   Patti Crime   Drama   Thriller  ,18
19,Sadiyaan: Boundaries Divide... Love Unites,Drama|Romance,   Sadiyaan   Boundaries   Divide   Love   Unites Drama   Romance  ,19
20,Veer,Action|Adventure|Drama,   Veer Action   Adventure   Drama  ,20
21,Jai Ho,Action|Drama,   Jai   Ho Action   Drama  ,21
22,My Name Is Khan,Drama,   My   Name   Is   Khan Drama  ,22
23,Toonpur Ka Superrhero,Action|Adventure|Animation,   Toonpur   Ka   Superrhero Action   Adventure   Animation  ,23
24,Hello Darling,Comedy|Drama,   Hello   Darling Comedy   Drama  ,24
25,Right Yaaa Wrong,Crime|Drama|Thriller,   Right   Yaaa   Wrong Crime   Drama   Thriller  ,25
26,Jaane Kahan Se Aayi Hai,Comedy|Drama|Fantasy,   Jaane   Kahan   Se   Aayi   Hai Comedy   Drama   Fantasy  ,26
27,Paathshaala,Drama|Family,   Paathshaala Drama   Family  ,27
28,Kites,Action|Drama|Romance,   Kites Action   Drama   Romance  ,28
29,Tera Kya Hoga Johnny,Crime|Drama|Thriller,   Tera   Kya   Hoga   Johnny Crime   Drama   Thriller  ,29
30,Aashayein,Drama,   Aashayein Drama  ,30
31,Colours of Passion,Biography|Drama|Romance,   Colours  of   Passion Biography   Drama   Romance  ,31
32,Hisss,Comedy|Drama|Horror,   Hisss Comedy   Drama   Horror  ,32
33,Red Alert: The War Within,Action|Drama|Thriller,   Red   Alert   The   War   Within Action   Drama   Thriller  ,33
34,Ramaa: The Saviour,Action|Adventure|Drama,   Ramaa   The   Saviour Action   Adventure   Drama  ,34
35,Don 2,Action|Crime|Thriller,   Don  2 Action   Crime   Thriller  ,35
36,Lahore,Action|Drama|Sport,   Lahore Action   Drama   Sport  ,36
37,Fatso!,Comedy|Fantasy|Romance,   Fatso   Comedy   Fantasy   Romance  ,37
38,People of Allah,Action|Crime|Drama,   People  of   Allah Action   Crime   Drama  ,38
39,Lamhaa: The Untold Story of Kashmir,Action|Drama|Thriller,   Lamhaa   The   Untold   Story  of   Kashmir Action   Drama   Thriller  ,39
40,It's a Wonderful Afterlife,Comedy|Drama|Fantasy,   It  s  a   Wonderful   Afterlife Comedy   Drama   Fantasy  ,40
41,Jhootha Hi Sahi,Comedy|Drama|Romance,   Jhootha   Hi   Sahi Comedy   Drama   Romance  ,41
42,Raavan,Action|Adventure|Drama,   Raavan Action   Adventure   Drama  ,42
43,Ishqiya,Comedy|Drama|Romance,   Ishqiya Comedy   Drama   Romance  ,43
44,Pyaar Impossible!,Comedy|Romance,   Pyaar   Impossible   Comedy   Romance  ,44
45,Naughty @ 40,Comedy|Drama,   Naughty  40 Comedy   Drama  ,45
46,Chatur Singh Two Star,Action|Adventure|Comedy,   Chatur   Singh   Two   Star Action   Adventure   Comedy  ,46
47,Chargesheet,Drama|Thriller,   Chargesheet Drama   Thriller  ,47
48,Karthik Calling Karthik,Drama|Mystery|Thriller,   Karthik   Calling   Karthik Drama   Mystery   Thriller  ,48
49,Race 2,Action|Crime|Thriller,   Race  2 Action   Crime   Thriller  ,49
50,Mirch,Comedy|Drama|Fantasy,   Mirch Comedy   Drama   Fantasy  ,50
